




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (18547)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of DNA recombination (GO:0000018)	26	26	17.55	+	1.48	6.27E-05	5.80E-04
mitochondrial genome maintenance (GO:0000002)	14	14	9.45	+	1.48	7.33E-03	3.79E-02
coenzyme A metabolic process (GO:0015936)	16	16	10.80	+	1.48	2.46E-03	1.55E-02
sterol transport (GO:0015918)	14	14	9.45	+	1.48	7.33E-03	3.79E-02
isopentenyl diphosphate biosynthetic process (GO:0009240)	16	16	10.80	+	1.48	2.46E-03	1.54E-02
negative regulation of response to salt stress (GO:1901001)	14	14	9.45	+	1.48	7.33E-03	3.78E-02
copper ion homeostasis (GO:0055070)	14	14	9.45	+	1.48	7.33E-03	3.78E-02
methionine metabolic process (GO:0006555)	28	28	18.90	+	1.48	2.15E-05	2.19E-04
GPI anchor metabolic process (GO:0006505)	25	25	16.88	+	1.48	1.14E-04	9.86E-04
nuclear DNA replication (GO:0033260)	14	14	9.45	+	1.48	7.33E-03	3.78E-02
purine ribonucleotide transport (GO:0015868)	16	16	10.80	+	1.48	2.46E-03	1.54E-02
cell cycle DNA replication (GO:0044786)	35	35	23.63	+	1.48	1.54E-06	1.89E-05
cell wall pectin biosynthetic process (GO:0052325)	21	21	14.18	+	1.48	5.53E-04	4.15E-03
phytoalexin biosynthetic process (GO:0052315)	15	15	10.13	+	1.48	4.17E-03	2.37E-02
phytoalexin metabolic process (GO:0052314)	15	15	10.13	+	1.48	4.17E-03	2.37E-02
protein O-linked glycosylation (GO:0006493)	14	14	9.45	+	1.48	7.33E-03	3.77E-02
protein dephosphorylation (GO:0006470)	38	38	25.65	+	1.48	5.56E-07	7.39E-06
protein autoubiquitination (GO:0051865)	19	19	12.83	+	1.48	8.51E-04	5.98E-03
tRNA wobble uridine modification (GO:0002098)	15	15	10.13	+	1.48	4.17E-03	2.37E-02
translational termination (GO:0006415)	14	14	9.45	+	1.48	7.33E-03	3.77E-02
L-leucine biosynthetic process (GO:0009098)	15	15	10.13	+	1.48	4.17E-03	2.36E-02
branched-chain amino acid biosynthetic process (GO:0009082)	23	23	15.53	+	1.48	1.75E-04	1.47E-03
tRNA methylation (GO:0030488)	26	26	17.55	+	1.48	6.27E-05	5.79E-04
negative regulation of nuclear division (GO:0051784)	16	16	10.80	+	1.48	2.46E-03	1.54E-02
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	16	16	10.80	+	1.48	2.46E-03	1.54E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	14	14	9.45	+	1.48	7.33E-03	3.77E-02
postreplication repair (GO:0006301)	15	15	10.13	+	1.48	4.17E-03	2.36E-02
organic cation transport (GO:0015695)	19	19	12.83	+	1.48	8.51E-04	5.97E-03
tracheary element differentiation (GO:1905177)	17	17	11.48	+	1.48	2.71E-03	1.65E-02
negative regulation of photosynthesis (GO:1905156)	14	14	9.45	+	1.48	7.33E-03	3.76E-02
cell plate assembly (GO:0000919)	14	14	9.45	+	1.48	7.33E-03	3.76E-02
autophagosome maturation (GO:0097352)	14	14	9.45	+	1.48	7.33E-03	3.76E-02
negative regulation of RNA catabolic process (GO:1902369)	17	17	11.48	+	1.48	2.71E-03	1.65E-02
intracellular lipid transport (GO:0032365)	15	15	10.13	+	1.48	4.17E-03	2.36E-02
regulation of meiotic cell cycle (GO:0051445)	17	17	11.48	+	1.48	2.71E-03	1.65E-02
positive regulation of leaf senescence (GO:1900057)	21	21	14.18	+	1.48	5.53E-04	4.14E-03
fructose 6-phosphate metabolic process (GO:0006002)	15	15	10.13	+	1.48	4.17E-03	2.36E-02
isopentenyl diphosphate metabolic process (GO:0046490)	16	16	10.80	+	1.48	2.46E-03	1.54E-02
chorismate metabolic process (GO:0046417)	15	15	10.13	+	1.48	4.17E-03	2.35E-02
DNA endoreduplication (GO:0042023)	21	21	14.18	+	1.48	5.53E-04	4.14E-03
negative regulation of DNA recombination (GO:0045910)	17	17	11.48	+	1.48	2.71E-03	1.64E-02
photosynthesis, dark reaction (GO:0019685)	15	15	10.13	+	1.48	4.17E-03	2.35E-02
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	17	17	11.48	+	1.48	2.71E-03	1.64E-02
establishment of protein localization to peroxisome (GO:0072663)	17	17	11.48	+	1.48	2.71E-03	1.64E-02
protein localization to peroxisome (GO:0072662)	17	17	11.48	+	1.48	2.71E-03	1.64E-02
negative regulation of catabolic process (GO:0009895)	29	29	19.58	+	1.48	2.35E-05	2.38E-04
photorespiration (GO:0009853)	38	38	25.65	+	1.48	5.56E-07	7.37E-06
dicarboxylic acid biosynthetic process (GO:0043650)	28	28	18.90	+	1.48	2.15E-05	2.19E-04
positive regulation of cellular component biogenesis (GO:0044089)	26	26	17.55	+	1.48	6.27E-05	5.78E-04
indole phytoalexin biosynthetic process (GO:0009700)	15	15	10.13	+	1.48	4.17E-03	2.35E-02
indole phytoalexin metabolic process (GO:0046217)	15	15	10.13	+	1.48	4.17E-03	2.35E-02
GPI anchored protein biosynthesis (GO:0180046)	30	30	20.25	+	1.48	1.29E-05	1.38E-04
lipid translocation (GO:0034204)	16	16	10.80	+	1.48	2.46E-03	1.54E-02
inorganic cation import across plasma membrane (GO:0098659)	19	19	12.83	+	1.48	8.51E-04	5.96E-03
ta-siRNA processing (GO:0010267)	15	15	10.13	+	1.48	4.17E-03	2.34E-02
positive regulation of DNA replication (GO:0045740)	14	14	9.45	+	1.48	7.33E-03	3.75E-02
response to ionizing radiation (GO:0010212)	25	25	16.88	+	1.48	1.14E-04	9.84E-04
mitophagy (GO:0000423)	21	21	14.18	+	1.48	5.53E-04	4.13E-03
regulation of defense response to virus (GO:0050688)	16	16	10.80	+	1.48	2.46E-03	1.53E-02
response to mechanical stimulus (GO:0009612)	26	26	17.55	+	1.48	6.27E-05	5.77E-04
RNA decapping (GO:0110154)	15	15	10.13	+	1.48	4.17E-03	2.34E-02
RNA stabilization (GO:0043489)	14	14	9.45	+	1.48	7.33E-03	3.75E-02
Group II intron splicing (GO:0000373)	26	26	17.55	+	1.48	6.27E-05	5.76E-04
positive regulation of DNA metabolic process (GO:0051054)	23	23	15.53	+	1.48	1.75E-04	1.47E-03
negative regulation of DNA metabolic process (GO:0051053)	29	29	19.58	+	1.48	2.35E-05	2.37E-04
photoprotection (GO:0010117)	14	14	9.45	+	1.48	7.33E-03	3.75E-02
negative regulation of photomorphogenesis (GO:0010100)	16	16	10.80	+	1.48	2.46E-03	1.53E-02
pyridine nucleotide biosynthetic process (GO:0019363)	14	14	9.45	+	1.48	7.33E-03	3.74E-02
nucleotide transport (GO:0006862)	22	22	14.85	+	1.48	3.05E-04	2.41E-03
regulation of protein modification process (GO:0031399)	20	20	13.50	+	1.48	5.05E-04	3.85E-03
fatty acid beta-oxidation (GO:0006635)	36	36	24.30	+	1.48	9.19E-07	1.18E-05
peroxisomal membrane transport (GO:0015919)	18	18	12.15	+	1.48	1.49E-03	9.85E-03
glycine metabolic process (GO:0006544)	18	18	12.15	+	1.48	1.49E-03	9.84E-03
purine nucleotide transport (GO:0015865)	20	20	13.50	+	1.48	5.05E-04	3.85E-03
pyruvate family amino acid biosynthetic process (GO:0009079)	20	20	13.50	+	1.48	5.05E-04	3.84E-03
pyruvate family amino acid metabolic process (GO:0009078)	33	33	22.28	+	1.48	4.87E-06	5.58E-05
cellular response to biotic stimulus (GO:0071216)	18	18	12.15	+	1.48	1.49E-03	9.83E-03
CDP-diacylglycerol biosynthetic process (GO:0016024)	18	18	12.15	+	1.48	1.49E-03	9.81E-03
inorganic ion import across plasma membrane (GO:0099587)	20	20	13.50	+	1.48	5.05E-04	3.83E-03
adenine nucleotide transport (GO:0051503)	20	20	13.50	+	1.48	5.05E-04	3.83E-03
malate metabolic process (GO:0006108)	18	18	12.15	+	1.48	1.49E-03	9.80E-03
protein localization involved in auxin polar transport (GO:1901703)	18	18	12.15	+	1.48	1.49E-03	9.79E-03
CDP-diacylglycerol metabolic process (GO:0046341)	18	18	12.15	+	1.48	1.49E-03	9.78E-03
regulation of membrane lipid distribution (GO:0097035)	20	20	13.50	+	1.48	5.05E-04	3.82E-03
import across plasma membrane (GO:0098739)	33	33	22.28	+	1.48	4.87E-06	5.57E-05
peroxisomal transport (GO:0043574)	18	18	12.15	+	1.48	1.49E-03	9.77E-03
positive regulation of translation (GO:0045727)	18	18	12.15	+	1.48	1.49E-03	9.76E-03
sulfur amino acid metabolic process (GO:0000096)	52	51	35.10	+	1.45	4.67E-08	7.51E-07
xylem development (GO:0010089)	50	49	33.75	+	1.45	1.33E-07	2.00E-06
response to zinc ion (GO:0010043)	49	48	33.08	+	1.45	1.32E-07	1.98E-06
sulfur amino acid biosynthetic process (GO:0000097)	42	41	28.35	+	1.45	2.74E-06	3.26E-05
post-transcriptional gene silencing (GO:0016441)	40	39	27.00	+	1.44	4.29E-06	4.95E-05
fatty acid oxidation (GO:0019395)	40	39	27.00	+	1.44	4.29E-06	4.93E-05
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	37	36	24.98	+	1.44	1.18E-05	1.28E-04
cytosolic transport (GO:0016482)	37	36	24.98	+	1.44	1.18E-05	1.28E-04
cellular metabolic compound salvage (GO:0043094)	73	71	49.28	+	1.44	2.83E-10	5.83E-09
mRNA export from nucleus (GO:0006406)	36	35	24.30	+	1.44	1.92E-05	1.99E-04
mRNA transport (GO:0051028)	36	35	24.30	+	1.44	1.92E-05	1.99E-04
cytokinesis by cell plate formation (GO:0000911)	69	67	46.58	+	1.44	1.24E-09	2.42E-08
mitochondrial RNA processing (GO:0000963)	34	33	22.95	+	1.44	5.53E-05	5.16E-04
regulation of nuclear division (GO:0051783)	33	32	22.28	+	1.44	5.23E-05	4.93E-04
retrograde transport, endosome to Golgi (GO:0042147)	33	32	22.28	+	1.44	5.23E-05	4.92E-04
aspartate family amino acid metabolic process (GO:0009066)	63	61	42.53	+	1.43	1.48E-08	2.52E-07
autophagy of mitochondrion (GO:0000422)	31	30	20.93	+	1.43	1.42E-04	1.21E-03
macroautophagy (GO:0016236)	60	58	40.50	+	1.43	3.85E-08	6.28E-07
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	30	29	20.25	+	1.43	2.46E-04	1.99E-03
wound healing (GO:0042060)	30	29	20.25	+	1.43	2.46E-04	1.99E-03
detection of chemical stimulus (GO:0009593)	30	29	20.25	+	1.43	2.46E-04	1.98E-03
callus formation (GO:1990110)	29	28	19.58	+	1.43	2.29E-04	1.88E-03
protein processing (GO:0016485)	58	56	39.15	+	1.43	6.46E-08	1.02E-06
detection of abiotic stimulus (GO:0009582)	29	28	19.58	+	1.43	2.29E-04	1.87E-03
detection of external stimulus (GO:0009581)	29	28	19.58	+	1.43	2.29E-04	1.87E-03
proteinogenic amino acid catabolic process (GO:0170040)	57	55	38.48	+	1.43	1.02E-07	1.57E-06
L-amino acid catabolic process (GO:0170035)	57	55	38.48	+	1.43	1.02E-07	1.56E-06
microtubule-based movement (GO:0007018)	57	55	38.48	+	1.43	1.02E-07	1.56E-06
aldehyde metabolic process (GO:0006081)	57	55	38.48	+	1.43	1.02E-07	1.55E-06
protein folding (GO:0006457)	189	182	127.58	+	1.43	7.25E-23	3.34E-21
regulation of glucan biosynthetic process (GO:0010962)	27	26	18.23	+	1.43	6.27E-04	4.59E-03
glutamine family amino acid biosynthetic process (GO:0009084)	27	26	18.23	+	1.43	6.27E-04	4.58E-03
serine family amino acid metabolic process (GO:0009069)	54	52	36.45	+	1.43	2.77E-07	3.96E-06
snRNA metabolic process (GO:0016073)	27	26	18.23	+	1.43	6.27E-04	4.57E-03
positive regulation of cell cycle process (GO:0090068)	27	26	18.23	+	1.43	6.27E-04	4.57E-03
negative regulation of immune response (GO:0050777)	27	26	18.23	+	1.43	6.27E-04	4.56E-03
negative regulation of immune system process (GO:0002683)	27	26	18.23	+	1.43	6.27E-04	4.56E-03
regulation of phosphorus metabolic process (GO:0051174)	27	26	18.23	+	1.43	6.27E-04	4.55E-03
glycerophospholipid biosynthetic process (GO:0046474)	107	103	72.23	+	1.43	3.21E-13	8.50E-12
alpha-amino acid catabolic process (GO:1901606)	80	77	54.00	+	1.43	3.59E-10	7.31E-09
thylakoid membrane organization (GO:0010027)	52	50	35.10	+	1.42	7.20E-07	9.45E-06
regulation of phosphate metabolic process (GO:0019220)	26	25	17.55	+	1.42	1.08E-03	7.38E-03
cysteine metabolic process (GO:0006534)	26	25	17.55	+	1.42	1.08E-03	7.37E-03
proteinogenic amino acid biosynthetic process (GO:0170038)	153	147	103.28	+	1.42	2.49E-18	9.08E-17
L-amino acid biosynthetic process (GO:0170034)	153	147	103.28	+	1.42	2.49E-18	9.02E-17
glycolipid metabolic process (GO:0006664)	51	49	34.43	+	1.42	1.21E-06	1.54E-05
maturation of SSU-rRNA (GO:0030490)	51	49	34.43	+	1.42	1.21E-06	1.54E-05
regulation of response to red or far red light (GO:2000030)	51	49	34.43	+	1.42	1.21E-06	1.54E-05
positive regulation of cellular component organization (GO:0051130)	51	49	34.43	+	1.42	1.21E-06	1.53E-05
liposaccharide metabolic process (GO:1903509)	51	49	34.43	+	1.42	1.21E-06	1.53E-05
negative regulation of defense response (GO:0031348)	76	73	51.30	+	1.42	1.54E-09	2.94E-08
mitochondrial respiratory chain complex I assembly (GO:0032981)	25	24	16.88	+	1.42	9.95E-04	6.84E-03
RNA 5'-end processing (GO:0000966)	25	24	16.88	+	1.42	9.95E-04	6.83E-03
root hair cell tip growth (GO:0048768)	25	24	16.88	+	1.42	9.95E-04	6.82E-03
root hair elongation (GO:0048767)	75	72	50.63	+	1.42	2.62E-09	4.92E-08
lipid oxidation (GO:0034440)	50	48	33.75	+	1.42	1.18E-06	1.50E-05
process utilizing autophagic mechanism (GO:0061919)	73	70	49.28	+	1.42	3.95E-09	7.27E-08
autophagy (GO:0006914)	73	70	49.28	+	1.42	3.95E-09	7.25E-08
RNA export from nucleus (GO:0006405)	48	46	32.40	+	1.42	3.08E-06	3.59E-05
aspartate family amino acid biosynthetic process (GO:0009067)	48	46	32.40	+	1.42	3.08E-06	3.58E-05
regulation of sister chromatid segregation (GO:0033045)	24	23	16.20	+	1.42	1.63E-03	1.06E-02
autophagosome organization (GO:1905037)	48	46	32.40	+	1.42	3.08E-06	3.58E-05
regulation of autophagy (GO:0010506)	24	23	16.20	+	1.42	1.63E-03	1.06E-02
protein maturation (GO:0051604)	308	295	207.92	+	1.42	5.59E-35	4.86E-33
autophagosome assembly (GO:0000045)	46	44	31.05	+	1.42	4.96E-06	5.63E-05
valine metabolic process (GO:0006573)	23	22	15.53	+	1.42	2.73E-03	1.65E-02
carotenoid biosynthetic process (GO:0016117)	23	22	15.53	+	1.42	2.73E-03	1.65E-02
tetraterpenoid biosynthetic process (GO:0016109)	23	22	15.53	+	1.42	2.73E-03	1.65E-02
phosphatidylcholine metabolic process (GO:0046470)	23	22	15.53	+	1.42	2.73E-03	1.64E-02
negative regulation of innate immune response (GO:0045824)	23	22	15.53	+	1.42	2.73E-03	1.64E-02
dicarboxylic acid metabolic process (GO:0043648)	91	87	61.43	+	1.42	5.93E-11	1.30E-09
ribosomal large subunit biogenesis (GO:0042273)	67	64	45.23	+	1.42	2.74E-08	4.48E-07
glycerophospholipid metabolic process (GO:0006650)	154	147	103.96	+	1.41	1.95E-17	6.52E-16
sulfate assimilation (GO:0000103)	22	21	14.85	+	1.41	2.68E-03	1.66E-02
glycolipid biosynthetic process (GO:0009247)	44	42	29.70	+	1.41	1.30E-05	1.39E-04
cellular response to amino acid stimulus (GO:0071230)	22	21	14.85	+	1.41	2.68E-03	1.65E-02
phloem transport (GO:0010233)	22	21	14.85	+	1.41	2.68E-03	1.65E-02
vascular transport (GO:0010232)	22	21	14.85	+	1.41	2.68E-03	1.65E-02
vascular process in circulatory system (GO:0003018)	22	21	14.85	+	1.41	2.68E-03	1.65E-02
circulatory system process (GO:0003013)	22	21	14.85	+	1.41	2.68E-03	1.65E-02
system process (GO:0003008)	22	21	14.85	+	1.41	2.68E-03	1.64E-02
detection of light stimulus (GO:0009583)	22	21	14.85	+	1.41	2.68E-03	1.64E-02
fatty acid catabolic process (GO:0009062)	43	41	29.03	+	1.41	2.21E-05	2.24E-04
L-phenylalanine metabolic process (GO:0006558)	21	20	14.18	+	1.41	4.26E-03	2.38E-02
signal peptide processing (GO:0006465)	21	20	14.18	+	1.41	4.26E-03	2.38E-02
tRNA wobble base modification (GO:0002097)	21	20	14.18	+	1.41	4.26E-03	2.38E-02
snRNA processing (GO:0016180)	21	20	14.18	+	1.41	4.26E-03	2.38E-02
biological process involved in interaction with host (GO:0051701)	21	20	14.18	+	1.41	4.26E-03	2.37E-02
plastid translation (GO:0032544)	21	20	14.18	+	1.41	4.26E-03	2.37E-02
viral process (GO:0016032)	21	20	14.18	+	1.41	4.26E-03	2.37E-02
pyrimidine nucleobase metabolic process (GO:0006206)	21	20	14.18	+	1.41	4.26E-03	2.37E-02
positive regulation of organelle organization (GO:0010638)	42	40	28.35	+	1.41	2.07E-05	2.12E-04
maintenance of shoot apical meristem identity (GO:0010492)	21	20	14.18	+	1.41	4.26E-03	2.36E-02
actin filament-based movement (GO:0030048)	21	20	14.18	+	1.41	4.26E-03	2.36E-02
pyridine-containing compound biosynthetic process (GO:0072525)	21	20	14.18	+	1.41	4.26E-03	2.36E-02
regulation of circadian rhythm (GO:0042752)	62	59	41.85	+	1.41	1.79E-07	2.63E-06
membrane lipid metabolic process (GO:0006643)	103	98	69.53	+	1.41	9.35E-12	2.24E-10
serine family amino acid biosynthetic process (GO:0009070)	41	39	27.68	+	1.41	3.32E-05	3.25E-04
negative regulation of cellular component organization (GO:0051129)	41	39	27.68	+	1.41	3.32E-05	3.25E-04
protein localization to endoplasmic reticulum (GO:0070972)	61	58	41.18	+	1.41	2.90E-07	4.13E-06
regulation of photomorphogenesis (GO:0010099)	40	38	27.00	+	1.41	5.47E-05	5.12E-04
regulation of protein-containing complex disassembly (GO:0043244)	20	19	13.50	+	1.41	6.97E-03	3.68E-02
regulation of beta-glucan biosynthetic process (GO:0032951)	20	19	13.50	+	1.41	6.97E-03	3.67E-02
regulation of beta-glucan metabolic process (GO:0032950)	20	19	13.50	+	1.41	6.97E-03	3.67E-02
protein targeting to vacuole (GO:0006623)	40	38	27.00	+	1.41	5.47E-05	5.12E-04
mRNA 3'-end processing (GO:0031124)	20	19	13.50	+	1.41	6.97E-03	3.67E-02
phospholipid transport (GO:0015914)	20	19	13.50	+	1.41	6.97E-03	3.66E-02
cell wall beta-glucan metabolic process (GO:0034406)	20	19	13.50	+	1.41	6.97E-03	3.66E-02
phototransduction (GO:0007602)	20	19	13.50	+	1.41	6.97E-03	3.66E-02
lateral root formation (GO:0010311)	60	57	40.50	+	1.41	4.85E-07	6.52E-06
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	20	19	13.50	+	1.41	6.97E-03	3.65E-02
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	20	19	13.50	+	1.41	6.97E-03	3.65E-02
aldehyde catabolic process (GO:0046185)	20	19	13.50	+	1.41	6.97E-03	3.65E-02
red, far-red light phototransduction (GO:0009585)	20	19	13.50	+	1.41	6.97E-03	3.64E-02
regulation of leaf senescence (GO:1900055)	59	56	39.83	+	1.41	4.63E-07	6.31E-06
protein localization to chloroplast (GO:0072598)	59	56	39.83	+	1.41	4.63E-07	6.29E-06
cellular response to salt stress (GO:0071472)	39	37	26.33	+	1.41	5.46E-05	5.12E-04
cellular response to oxidative stress (GO:0034599)	78	74	52.65	+	1.41	6.66E-09	1.18E-07
response to hydrogen peroxide (GO:0042542)	77	73	51.98	+	1.40	1.10E-08	1.90E-07
intra-Golgi vesicle-mediated transport (GO:0006891)	38	36	25.65	+	1.40	8.54E-05	7.74E-04
establishment of protein localization to endoplasmic reticulum (GO:0072599)	38	36	25.65	+	1.40	8.54E-05	7.73E-04
L-amino acid metabolic process (GO:0170033)	226	214	152.56	+	1.40	1.84E-23	9.25E-22
proteinogenic amino acid metabolic process (GO:0170039)	224	212	151.21	+	1.40	2.81E-23	1.37E-21
phosphatidylinositol biosynthetic process (GO:0006661)	56	53	37.80	+	1.40	2.00E-06	2.43E-05
establishment of protein localization to chloroplast (GO:0072596)	56	53	37.80	+	1.40	2.00E-06	2.42E-05
amino acid catabolic process (GO:0009063)	93	88	62.78	+	1.40	2.54E-10	5.25E-09
protein targeting to ER (GO:0045047)	37	35	24.98	+	1.40	1.37E-04	1.17E-03
cellular response to chemical stress (GO:0062197)	127	120	85.73	+	1.40	2.38E-13	6.44E-12
phospholipid biosynthetic process (GO:0008654)	144	136	97.21	+	1.40	5.63E-15	1.65E-13
protein refolding (GO:0042026)	36	34	24.30	+	1.40	2.26E-04	1.85E-03
regulation of translation (GO:0006417)	71	67	47.93	+	1.40	6.80E-08	1.06E-06
cellular response to osmotic stress (GO:0071470)	53	50	35.78	+	1.40	4.87E-06	5.56E-05
ketone metabolic process (GO:0042180)	53	50	35.78	+	1.40	4.87E-06	5.55E-05
NADPH regeneration (GO:0006740)	35	33	23.63	+	1.40	2.21E-04	1.82E-03
negative regulation of organelle organization (GO:0010639)	35	33	23.63	+	1.40	2.21E-04	1.82E-03
root hair cell development (GO:0080147)	105	99	70.88	+	1.40	3.76E-11	8.51E-10
vacuole organization (GO:0007033)	87	82	58.73	+	1.40	2.55E-09	4.79E-08
sphingolipid metabolic process (GO:0006665)	52	49	35.10	+	1.40	4.85E-06	5.57E-05
hyperosmotic response (GO:0006972)	69	65	46.58	+	1.40	1.83E-07	2.69E-06
endosomal transport (GO:0016197)	86	81	58.05	+	1.40	4.21E-09	7.68E-08
cellular response to oxygen levels (GO:0071453)	240	226	162.01	+	1.39	6.92E-24	3.57E-22
cellular response to decreased oxygen levels (GO:0036294)	239	225	161.34	+	1.39	1.07E-23	5.43E-22
protein-containing complex disassembly (GO:0032984)	68	64	45.90	+	1.39	1.72E-07	2.54E-06
carotenoid metabolic process (GO:0016116)	34	32	22.95	+	1.39	3.47E-04	2.73E-03
tetraterpenoid metabolic process (GO:0016108)	34	32	22.95	+	1.39	3.47E-04	2.73E-03
embryonic meristem development (GO:0048508)	34	32	22.95	+	1.39	3.47E-04	2.72E-03
maturation of LSU-rRNA (GO:0000470)	34	32	22.95	+	1.39	3.47E-04	2.72E-03
cellular response to hypoxia (GO:0071456)	237	223	159.99	+	1.39	2.78E-23	1.37E-21
phosphatidylinositol metabolic process (GO:0046488)	84	79	56.70	+	1.39	6.31E-09	1.12E-07
negative regulation of response to biotic stimulus (GO:0002832)	50	47	33.75	+	1.39	1.20E-05	1.29E-04
negative regulation of response to external stimulus (GO:0032102)	50	47	33.75	+	1.39	1.20E-05	1.29E-04
alpha-amino acid biosynthetic process (GO:1901607)	183	172	123.53	+	1.39	4.95E-18	1.75E-16
response to amino acid (GO:0043200)	33	31	22.28	+	1.39	5.59E-04	4.17E-03
detection of stimulus (GO:0051606)	66	62	44.55	+	1.39	4.41E-07	6.04E-06
cellular response to reactive oxygen species (GO:0034614)	33	31	22.28	+	1.39	5.59E-04	4.16E-03
pentose-phosphate shunt (GO:0006098)	33	31	22.28	+	1.39	5.59E-04	4.16E-03
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	33	31	22.28	+	1.39	5.59E-04	4.15E-03
regulation of generation of precursor metabolites and energy (GO:0043467)	33	31	22.28	+	1.39	5.59E-04	4.15E-03
protein targeting (GO:0006605)	197	185	132.98	+	1.39	2.89E-19	1.14E-17
membrane lipid biosynthetic process (GO:0046467)	82	77	55.35	+	1.39	1.69E-08	2.84E-07
regulation of photosynthesis (GO:0010109)	49	46	33.08	+	1.39	1.97E-05	2.03E-04
pectin biosynthetic process (GO:0045489)	65	61	43.88	+	1.39	4.38E-07	6.02E-06
amino acid biosynthetic process (GO:0008652)	193	181	130.28	+	1.39	1.14E-18	4.30E-17
maturation of 5.8S rRNA (GO:0000460)	32	30	21.60	+	1.39	9.21E-04	6.34E-03
negative regulation of translation (GO:0017148)	32	30	21.60	+	1.39	9.21E-04	6.34E-03
post-embryonic root morphogenesis (GO:0010101)	80	75	54.00	+	1.39	2.49E-08	4.09E-07
lateral root morphogenesis (GO:0010102)	79	74	53.33	+	1.39	4.04E-08	6.56E-07
establishment of protein localization to membrane (GO:0090150)	110	103	74.26	+	1.39	5.49E-11	1.22E-09
NADP metabolic process (GO:0006739)	47	44	31.73	+	1.39	2.99E-05	2.97E-04
